item,itemLabel,orgnr
http://www.wikidata.org/entity/Q511407,Hagfors kommun,212000-1884
http://www.wikidata.org/entity/Q508180,Hallsbergs kommun,212000-1926
http://www.wikidata.org/entity/Q47019,Hallstahammars kommun,212000-2064
http://www.wikidata.org/entity/Q504692,Halmstads kommun,212000-1215
http://www.wikidata.org/entity/Q499359,Hammarö kommun,212000-1793
http://www.wikidata.org/entity/Q510310,Haparanda kommun,212000-2775
http://www.wikidata.org/entity/Q507684,Hedemora kommun,212000-2254
http://www.wikidata.org/entity/Q487648,Helsingborgs kommun,212000-1157
http://www.wikidata.org/entity/Q503111,Herrljunga kommun,212000-1520
http://www.wikidata.org/entity/Q62464,Hofors kommun,212000-2296
http://www.wikidata.org/entity/Q29963,Hudiksvalls kommun,212000-2379
http://www.wikidata.org/entity/Q512002,Hultsfreds kommun,212000-0712
http://www.wikidata.org/entity/Q498477,Hylte kommun,212000-1207
http://www.wikidata.org/entity/Q220881,Hällefors kommun,212000-1942
http://www.wikidata.org/entity/Q513421,Härjedalens kommun,212000-2510
http://www.wikidata.org/entity/Q209634,Härnösands kommun,212000-2403
http://www.wikidata.org/entity/Q508125,Hässleholms kommun,212000-0985
http://www.wikidata.org/entity/Q505013,Höganäs kommun,212000-1165
http://www.wikidata.org/entity/Q510233,Högsby kommun,212000-0688
http://www.wikidata.org/entity/Q504619,Hörby kommun,212000-1108
http://www.wikidata.org/entity/Q266401,Höörs kommun,212000-1116
http://www.wikidata.org/entity/Q512048,Jokkmokks kommun,212000-2676
http://www.wikidata.org/entity/Q301259,Järfälla kommun,212000-0043
http://www.wikidata.org/entity/Q504689,Jönköpings kommun,212000-0530
http://www.wikidata.org/entity/Q117091,Kalix kommun,212000-2692
http://www.wikidata.org/entity/Q508153,Kalmar kommun,212000-0746
http://www.wikidata.org/entity/Q509634,Karlskoga kommun,212000-1991
http://www.wikidata.org/entity/Q508140,Katrineholms kommun,212000-0340
http://www.wikidata.org/entity/Q499393,Kils kommun,212000-1751
http://www.wikidata.org/entity/Q515299,Kinda kommun,212000-0399
http://www.wikidata.org/entity/Q499474,Kiruna kommun,212000-2783
http://www.wikidata.org/entity/Q504614,Klippans kommun,212000-0928
http://www.wikidata.org/entity/Q504465,Knivsta kommun,212000-3013
http://www.wikidata.org/entity/Q514815,Kramfors kommun,212000-2429
http://www.wikidata.org/entity/Q498857,Kristianstads kommun,212000-0951
http://www.wikidata.org/entity/Q510364,Kristinehamns kommun,212000-1868
http://www.wikidata.org/entity/Q514707,Krokoms kommun,212000-2478
http://www.wikidata.org/entity/Q504988,Kumla kommun,212000-1975
http://www.wikidata.org/entity/Q47169,Kungsörs kommun,212000-2056
http://www.wikidata.org/entity/Q513370,Kävlinge kommun,212000-1058
http://www.wikidata.org/entity/Q42009,Köpings kommun,212000-2114
http://www.wikidata.org/entity/Q487502,Laholms kommun,212000-1223
http://www.wikidata.org/entity/Q502298,Landskrona kommun,212000-1140
http://www.wikidata.org/entity/Q515326,Laxå kommun,212000-1918
http://www.wikidata.org/entity/Q515282,Lekebergs kommun,212000-2981
http://www.wikidata.org/entity/Q509651,Leksands kommun,212000-2163
http://www.wikidata.org/entity/Q503188,Lerums kommun,212000-1447
http://www.wikidata.org/entity/Q509488,Lessebo kommun,212000-0613
http://www.wikidata.org/entity/Q3120654,Lidingö kommun,212000-0191
http://www.wikidata.org/entity/Q514858,Lindesbergs kommun,212000-2015
http://www.wikidata.org/entity/Q504235,Ljungby kommun,212000-0670
http://www.wikidata.org/entity/Q515235,Ljusdals kommun,212000-2320
http://www.wikidata.org/entity/Q514739,Ljusnarsbergs kommun,212000-1959
http://www.wikidata.org/entity/Q503184,Ludvika kommun,212000-2270
http://www.wikidata.org/entity/Q177019,Luleå kommun,212000-2742
http://www.wikidata.org/entity/Q948462,Lycksele kommun,212000-2635
http://www.wikidata.org/entity/Q503173,Lysekils kommun,212000-1389
http://www.wikidata.org/entity/Q503361,Malmö kommun,212000-1124
http://www.wikidata.org/entity/Q504266,Malung-Sälens kommun,212000-2148
http://www.wikidata.org/entity/Q501540,Malå kommun,212000-2866
http://www.wikidata.org/entity/Q240574,Markaryds kommun,212000-0654
http://www.wikidata.org/entity/Q500153,Marks kommun,212000-1504
http://www.wikidata.org/entity/Q501438,Melleruds kommun,212000-1488
http://www.wikidata.org/entity/Q267030,Mjölby kommun,212000-0480
http://www.wikidata.org/entity/Q504239,Mora kommun,212000-2213
http://www.wikidata.org/entity/Q508108,Motala kommun,212000-2817
http://www.wikidata.org/entity/Q505076,Mullsjö kommun,212000-1603
http://www.wikidata.org/entity/Q389040,Munkedals kommun,212000-1330
http://www.wikidata.org/entity/Q501494,Munkfors kommun,212000-1801
http://www.wikidata.org/entity/Q511270,Mölndals kommun,212000-1363
http://www.wikidata.org/entity/Q515250,Mönsterås kommun,212000-0720
http://www.wikidata.org/entity/Q514756,Mörbylånga kommun,212000-0704
http://www.wikidata.org/entity/Q946647,Nacka kommun,212000-0167
http://www.wikidata.org/entity/Q285894,Nora kommun,212000-2007
http://www.wikidata.org/entity/Q37404,Norbergs kommun,212000-2072
http://www.wikidata.org/entity/Q514805,Nordanstigs kommun,212000-2312
http://www.wikidata.org/entity/Q514722,Nordmalings kommun,212000-2536
http://www.wikidata.org/entity/Q504676,Norrköpings kommun,212000-0456
http://www.wikidata.org/entity/Q214048,Norrtälje kommun,212000-0217
http://www.wikidata.org/entity/Q507644,Norsjö kommun,212000-2858
http://www.wikidata.org/entity/Q515318,Nybro kommun,212000-0753
http://www.wikidata.org/entity/Q499460,Nykvarns kommun,212000-2999
http://www.wikidata.org/entity/Q500267,Nyköpings kommun,212000-2940
http://www.wikidata.org/entity/Q505090,Nynäshamns kommun,212000-0233
http://www.wikidata.org/entity/Q505096,Nässjö kommun,212000-0548
http://www.wikidata.org/entity/Q505109,Ockelbo kommun,212000-2288
http://www.wikidata.org/entity/Q504630,Orsa kommun,212000-2189
http://www.wikidata.org/entity/Q338752,Orusts kommun,212000-1314
http://www.wikidata.org/entity/Q504594,Osby kommun,212000-0902
http://www.wikidata.org/entity/Q505006,Oskarshamns kommun,212000-0761
http://www.wikidata.org/entity/Q505085,Ovanåkers kommun,212000-2304
http://www.wikidata.org/entity/Q186230,Pajala kommun,212000-2718
http://www.wikidata.org/entity/Q125222,Partille kommun,212000-1272
http://www.wikidata.org/entity/Q504249,Perstorps kommun,212000-0910
http://www.wikidata.org/entity/Q507656,Piteå kommun,212000-2759
http://www.wikidata.org/entity/Q515342,Ragunda kommun,212000-2452
http://www.wikidata.org/entity/Q374794,Region Gotland,212000-0803
http://www.wikidata.org/entity/Q507670,Robertsfors kommun,212000-2551
http://www.wikidata.org/entity/Q515373,Ronneby kommun,212000-0837
http://www.wikidata.org/entity/Q504244,Rättviks kommun,212000-2171
http://www.wikidata.org/entity/Q37399,Sala kommun,212000-2098
http://www.wikidata.org/entity/Q516080,Salems kommun,212000-2874
http://www.wikidata.org/entity/Q216915,Sigtuna kommun,212000-0225
http://www.wikidata.org/entity/Q504601,Sjöbo kommun,212000-1090
http://www.wikidata.org/entity/Q430780,Skellefteå kommun,212000-2643
http://www.wikidata.org/entity/Q37462,Skinnskattebergs kommun,212000-2023
http://www.wikidata.org/entity/Q515266,Skurups kommun,212000-1082
http://www.wikidata.org/entity/Q505046,Smedjebackens kommun,212000-2205
http://www.wikidata.org/entity/Q221990,Sollefteå kommun,212000-2437
http://www.wikidata.org/entity/Q503746,Sollentuna kommun,212000-0134
http://www.wikidata.org/entity/Q109010,Solna kommun,212000-0183
http://www.wikidata.org/entity/Q501463,Sorsele kommun,212000-2585
http://www.wikidata.org/entity/Q501420,Sotenäs kommun,212000-1322
http://www.wikidata.org/entity/Q504609,Staffanstorps kommun,212000-1017
http://www.wikidata.org/entity/Q506250,Stockholms kommun,212000-0142
http://www.wikidata.org/entity/Q505936,Storfors kommun,212000-1785
http://www.wikidata.org/entity/Q499415,Storumans kommun,212000-2577
http://www.wikidata.org/entity/Q501532,Strängnäs kommun,212000-0365
http://www.wikidata.org/entity/Q501424,Strömstads kommun,212000-1405
http://www.wikidata.org/entity/Q514770,Strömsunds kommun,212000-2486
http://www.wikidata.org/entity/Q972564,Sundbybergs kommun,212000-0175
http://www.wikidata.org/entity/Q501205,Sunne kommun,212000-1843
http://www.wikidata.org/entity/Q34078,Surahammars kommun,212000-2031
http://www.wikidata.org/entity/Q504227,Svalövs kommun,212000-0993
http://www.wikidata.org/entity/Q501487,Svenljunga kommun,212000-1512
http://www.wikidata.org/entity/Q511326,Säffle kommun,212000-1900
http://www.wikidata.org/entity/Q1345439,Säters kommun,212000-2247
http://www.wikidata.org/entity/Q145835,Söderhamns kommun,212000-2353
http://www.wikidata.org/entity/Q515680,Söderköpings kommun,212000-0464
http://www.wikidata.org/entity/Q511228,Tanums kommun,212000-1348
http://www.wikidata.org/entity/Q504983,Timrå kommun,212000-2395
http://www.wikidata.org/entity/Q515491,Tingsryds kommun,212000-0621
http://www.wikidata.org/entity/Q510135,Torsby kommun,212000-1777
http://www.wikidata.org/entity/Q515551,Torsås kommun,212000-0696
http://www.wikidata.org/entity/Q501479,Tranemo kommun,212000-1462
http://www.wikidata.org/entity/Q505071,Tranås kommun,212000-0597
http://www.wikidata.org/entity/Q504219,Trelleborgs kommun,212000-1199
http://www.wikidata.org/entity/Q28532,Trollhättans kommun,212000-1546
http://www.wikidata.org/entity/Q505064,Trosa kommun,212000-2957
http://www.wikidata.org/entity/Q113730,Tyresö kommun,212000-0092
http://www.wikidata.org/entity/Q493066,Täby kommun,212000-0118
http://www.wikidata.org/entity/Q501442,Uddevalla kommun,212000-1397
http://www.wikidata.org/entity/Q507709,Umeå kommun,212000-2627
http://www.wikidata.org/entity/Q499425,Upplands Väsby kommun,212000-0019
http://www.wikidata.org/entity/Q113673,Upplands-Bro kommun,212000-0100
http://www.wikidata.org/entity/Q59091,Uppsala kommun,212000-3005
http://www.wikidata.org/entity/Q515505,Uppvidinge kommun,212000-0605
http://www.wikidata.org/entity/Q515969,Vadstena kommun,212000-2825
http://www.wikidata.org/entity/Q605329,Vaggeryds kommun,212000-0522
http://www.wikidata.org/entity/Q509997,Valdemarsviks kommun,212000-0431
http://www.wikidata.org/entity/Q501526,Vallentuna kommun,212000-0027
http://www.wikidata.org/entity/Q501551,Vansbro kommun,212000-2130
http://www.wikidata.org/entity/Q500090,Vaxholms kommun,212000-2908
http://www.wikidata.org/entity/Q511338,Vellinge kommun,212000-1033
http://www.wikidata.org/entity/Q505052,Vetlanda kommun,212000-0571
http://www.wikidata.org/entity/Q515861,Vilhelmina kommun,212000-2601
http://www.wikidata.org/entity/Q505057,Vimmerby kommun,212000-0787
http://www.wikidata.org/entity/Q504505,Vindelns kommun,212000-2544
http://www.wikidata.org/entity/Q511426,Vänersborgs kommun,212000-1538
http://www.wikidata.org/entity/Q500210,Vännäs kommun,212000-2841
http://www.wikidata.org/entity/Q280562,Värnamo kommun,212000-0555
http://www.wikidata.org/entity/Q515477,Västerviks kommun,212000-0779
http://www.wikidata.org/entity/Q34550,Västerås kommun,212000-2080
http://www.wikidata.org/entity/Q500217,Växjö kommun,212000-0662
http://www.wikidata.org/entity/Q511297,Vårgårda kommun,212000-1454
http://www.wikidata.org/entity/Q515699,Ydre kommun,212000-0381
http://www.wikidata.org/entity/Q254799,Älmhults kommun,212000-0647
http://www.wikidata.org/entity/Q123855,Älvdalens kommun,212000-2197
http://www.wikidata.org/entity/Q255025,Älvsbyns kommun,212000-2734
http://www.wikidata.org/entity/Q255206,Ängelholms kommun,212000-0977
http://www.wikidata.org/entity/Q271079,Åmåls kommun,212000-1587
http://www.wikidata.org/entity/Q271153,Åre kommun,212000-2494
http://www.wikidata.org/entity/Q2777887,Årjängs kommun,212000-1835
http://www.wikidata.org/entity/Q271274,Åsele kommun,212000-2791
http://www.wikidata.org/entity/Q201813,Åstorps kommun,212000-0936
http://www.wikidata.org/entity/Q271340,Åtvidabergs kommun,212000-0415
http://www.wikidata.org/entity/Q293928,Öckerö kommun,212000-1280
http://www.wikidata.org/entity/Q293970,Ödeshögs kommun,212000-0373
http://www.wikidata.org/entity/Q297718,Örebro kommun,212000-1967
http://www.wikidata.org/entity/Q297936,Örkelljunga kommun,212000-0878
http://www.wikidata.org/entity/Q298003,Örnsköldsviks kommun,212000-2445
http://www.wikidata.org/entity/Q306789,Östersunds kommun,212000-2528
http://www.wikidata.org/entity/Q117728,Österåkers kommun,212000-2890
http://www.wikidata.org/entity/Q59093,Östhammars kommun,212000-0290
http://www.wikidata.org/entity/Q307370,Östra Göinge kommun,212000-0860
http://www.wikidata.org/entity/Q307569,Överkalix kommun,212000-2684
http://www.wikidata.org/entity/Q307603,Övertorneå kommun,212000-2700
