item,orgnr,itemLabel
http://www.wikidata.org/entity/Q503122,212000-1827,Grums kommun
http://www.wikidata.org/entity/Q503148,212000-1595,Grästorps kommun
http://www.wikidata.org/entity/Q503193,212000-1637,Gullspångs kommun
http://www.wikidata.org/entity/Q493815,212000-2726,Gällivare kommun
http://www.wikidata.org/entity/Q510010,212000-2338,Gävle kommun
http://www.wikidata.org/entity/Q52502,212000-1355,Göteborgs kommun
http://www.wikidata.org/entity/Q511281,212000-1652,Götene kommun
http://www.wikidata.org/entity/Q503198,212000-1611,Habo kommun
http://www.wikidata.org/entity/Q511407,212000-1884,Hagfors kommun
http://www.wikidata.org/entity/Q508180,212000-1926,Hallsbergs kommun
http://www.wikidata.org/entity/Q47019,212000-2064,Hallstahammars kommun
http://www.wikidata.org/entity/Q504692,212000-1215,Halmstads kommun
http://www.wikidata.org/entity/Q499359,212000-1793,Hammarö kommun
http://www.wikidata.org/entity/Q113692,212000-0084,Haninge kommun
http://www.wikidata.org/entity/Q510310,212000-2775,Haparanda kommun
http://www.wikidata.org/entity/Q516308,212000-2049,Heby kommun
http://www.wikidata.org/entity/Q507684,212000-2254,Hedemora kommun
http://www.wikidata.org/entity/Q487648,212000-1157,Helsingborgs kommun
http://www.wikidata.org/entity/Q503111,212000-1520,Herrljunga kommun
http://www.wikidata.org/entity/Q428749,212000-1728,Hjo kommun
http://www.wikidata.org/entity/Q62464,212000-2296,Hofors kommun
http://www.wikidata.org/entity/Q492575,212000-0068,Huddinge kommun
http://www.wikidata.org/entity/Q29963,212000-2379,Hudiksvalls kommun
http://www.wikidata.org/entity/Q512002,212000-0712,Hultsfreds kommun
http://www.wikidata.org/entity/Q498477,212000-1207,Hylte kommun
http://www.wikidata.org/entity/Q220881,212000-1942,Hällefors kommun
http://www.wikidata.org/entity/Q513421,212000-2510,Härjedalens kommun
http://www.wikidata.org/entity/Q209634,212000-2403,Härnösands kommun
http://www.wikidata.org/entity/Q500125,212000-1264,Härryda kommun
http://www.wikidata.org/entity/Q508125,212000-0985,Hässleholms kommun
http://www.wikidata.org/entity/Q511253,212000-0241,Håbo kommun
http://www.wikidata.org/entity/Q505013,212000-1165,Höganäs kommun
http://www.wikidata.org/entity/Q510233,212000-0688,Högsby kommun
http://www.wikidata.org/entity/Q504619,212000-1108,Hörby kommun
http://www.wikidata.org/entity/Q266401,212000-1116,Höörs kommun
http://www.wikidata.org/entity/Q512048,212000-2676,Jokkmokks kommun
http://www.wikidata.org/entity/Q301259,212000-0043,Järfälla kommun
http://www.wikidata.org/entity/Q504689,212000-0530,Jönköpings kommun
http://www.wikidata.org/entity/Q117091,212000-2692,Kalix kommun
http://www.wikidata.org/entity/Q508153,212000-0746,Kalmar kommun
http://www.wikidata.org/entity/Q499435,212000-1629,Karlsborgs kommun
http://www.wikidata.org/entity/Q510223,212000-0845,Karlshamns kommun
http://www.wikidata.org/entity/Q509634,212000-1991,Karlskoga kommun
http://www.wikidata.org/entity/Q1128384,212000-0829,Karlskrona kommun
http://www.wikidata.org/entity/Q498453,212000-1850,Karlstads kommun
http://www.wikidata.org/entity/Q508140,212000-0340,Katrineholms kommun
http://www.wikidata.org/entity/Q499393,212000-1751,Kils kommun
http://www.wikidata.org/entity/Q515299,212000-0399,Kinda kommun
http://www.wikidata.org/entity/Q499474,212000-2783,Kiruna kommun
http://www.wikidata.org/entity/Q504614,212000-0928,Klippans kommun
http://www.wikidata.org/entity/Q504465,212000-3013,Knivsta kommun
http://www.wikidata.org/entity/Q514815,212000-2429,Kramfors kommun
http://www.wikidata.org/entity/Q498857,212000-0951,Kristianstads kommun
http://www.wikidata.org/entity/Q510364,212000-1868,Kristinehamns kommun
http://www.wikidata.org/entity/Q514707,212000-2478,Krokoms kommun
http://www.wikidata.org/entity/Q504988,212000-1975,Kumla kommun
http://www.wikidata.org/entity/Q499380,212000-1256,Kungsbacka kommun
http://www.wikidata.org/entity/Q47169,212000-2056,Kungsörs kommun
http://www.wikidata.org/entity/Q511394,212000-1371,Kungälvs kommun
http://www.wikidata.org/entity/Q513370,212000-1058,Kävlinge kommun
http://www.wikidata.org/entity/Q42009,212000-2114,Köpings kommun
http://www.wikidata.org/entity/Q487502,212000-1223,Laholms kommun
http://www.wikidata.org/entity/Q502298,212000-1140,Landskrona kommun
http://www.wikidata.org/entity/Q515326,212000-1918,Laxå kommun
http://www.wikidata.org/entity/Q515282,212000-2981,Lekebergs kommun
http://www.wikidata.org/entity/Q509651,212000-2163,Leksands kommun
http://www.wikidata.org/entity/Q503188,212000-1447,Lerums kommun
http://www.wikidata.org/entity/Q509488,212000-0613,Lessebo kommun
http://www.wikidata.org/entity/Q3120654,212000-0191,Lidingö kommun
http://www.wikidata.org/entity/Q515358,212000-1694,Lidköpings kommun
http://www.wikidata.org/entity/Q511241,212000-1496,Lilla Edets kommun
http://www.wikidata.org/entity/Q514858,212000-2015,Lindesbergs kommun
http://www.wikidata.org/entity/Q499410,212000-0449,Linköpings kommun
http://www.wikidata.org/entity/Q504235,212000-0670,Ljungby kommun
http://www.wikidata.org/entity/Q515235,212000-2320,Ljusdals kommun
http://www.wikidata.org/entity/Q514739,212000-1959,Ljusnarsbergs kommun
http://www.wikidata.org/entity/Q427991,212000-1066,Lomma kommun
http://www.wikidata.org/entity/Q503184,212000-2270,Ludvika kommun
http://www.wikidata.org/entity/Q177019,212000-2742,Luleå kommun
http://www.wikidata.org/entity/Q505018,212000-1132,Lunds kommun
http://www.wikidata.org/entity/Q948462,212000-2635,Lycksele kommun
http://www.wikidata.org/entity/Q503173,212000-1389,Lysekils kommun
http://www.wikidata.org/entity/Q503361,212000-1124,Malmö kommun
http://www.wikidata.org/entity/Q504266,212000-2148,Malung-Sälens kommun
http://www.wikidata.org/entity/Q501540,212000-2866,Malå kommun
http://www.wikidata.org/entity/Q427422,212000-1686,Mariestads kommun
http://www.wikidata.org/entity/Q240574,212000-0654,Markaryds kommun
http://www.wikidata.org/entity/Q500153,212000-1504,Marks kommun
http://www.wikidata.org/entity/Q501438,212000-1488,Melleruds kommun
http://www.wikidata.org/entity/Q267030,212000-0480,Mjölby kommun
http://www.wikidata.org/entity/Q504239,212000-2213,Mora kommun
http://www.wikidata.org/entity/Q508108,212000-2817,Motala kommun
http://www.wikidata.org/entity/Q505076,212000-1603,Mullsjö kommun
http://www.wikidata.org/entity/Q389040,212000-1330,Munkedals kommun
http://www.wikidata.org/entity/Q501494,212000-1801,Munkfors kommun
http://www.wikidata.org/entity/Q511270,212000-1363,Mölndals kommun
http://www.wikidata.org/entity/Q515250,212000-0720,Mönsterås kommun
http://www.wikidata.org/entity/Q514756,212000-0704,Mörbylånga kommun
http://www.wikidata.org/entity/Q946647,212000-0167,Nacka kommun
http://www.wikidata.org/entity/Q285894,212000-2007,Nora kommun
http://www.wikidata.org/entity/Q37404,212000-2072,Norbergs kommun
http://www.wikidata.org/entity/Q514805,212000-2312,Nordanstigs kommun
http://www.wikidata.org/entity/Q514722,212000-2536,Nordmalings kommun
http://www.wikidata.org/entity/Q504676,212000-0456,Norrköpings kommun
http://www.wikidata.org/entity/Q214048,212000-0217,Norrtälje kommun
http://www.wikidata.org/entity/Q507644,212000-2858,Norsjö kommun
http://www.wikidata.org/entity/Q515318,212000-0753,Nybro kommun
http://www.wikidata.org/entity/Q499460,212000-2999,Nykvarns kommun
http://www.wikidata.org/entity/Q500267,212000-2940,Nyköpings kommun
http://www.wikidata.org/entity/Q505090,212000-0233,Nynäshamns kommun
http://www.wikidata.org/entity/Q505096,212000-0548,Nässjö kommun
http://www.wikidata.org/entity/Q505109,212000-2288,Ockelbo kommun
http://www.wikidata.org/entity/Q504257,212000-0811,Olofströms kommun
http://www.wikidata.org/entity/Q504630,212000-2189,Orsa kommun
http://www.wikidata.org/entity/Q338752,212000-1314,Orusts kommun
http://www.wikidata.org/entity/Q504594,212000-0902,Osby kommun
http://www.wikidata.org/entity/Q505006,212000-0761,Oskarshamns kommun
http://www.wikidata.org/entity/Q505085,212000-2304,Ovanåkers kommun
http://www.wikidata.org/entity/Q505246,212000-0324,Oxelösunds kommun
http://www.wikidata.org/entity/Q186230,212000-2718,Pajala kommun
http://www.wikidata.org/entity/Q125222,212000-1272,Partille kommun
http://www.wikidata.org/entity/Q504249,212000-0910,Perstorps kommun
http://www.wikidata.org/entity/Q507656,212000-2759,Piteå kommun
http://www.wikidata.org/entity/Q515342,212000-2452,Ragunda kommun
http://www.wikidata.org/entity/Q374794,212000-0803,Region Gotland
http://www.wikidata.org/entity/Q507670,212000-2551,Robertsfors kommun
http://www.wikidata.org/entity/Q515373,212000-0837,Ronneby kommun
http://www.wikidata.org/entity/Q504244,212000-2171,Rättviks kommun
http://www.wikidata.org/entity/Q37399,212000-2098,Sala kommun
http://www.wikidata.org/entity/Q516080,212000-2874,Salems kommun
http://www.wikidata.org/entity/Q149539,212000-2346,Sandvikens kommun
http://www.wikidata.org/entity/Q216915,212000-0225,Sigtuna kommun
http://www.wikidata.org/entity/Q504626,212000-0969,Simrishamns kommun
http://www.wikidata.org/entity/Q504601,212000-1090,Sjöbo kommun
http://www.wikidata.org/entity/Q499421,212000-1702,Skara kommun
http://www.wikidata.org/entity/Q430780,212000-2643,Skellefteå kommun
http://www.wikidata.org/entity/Q37462,212000-2023,Skinnskattebergs kommun
http://www.wikidata.org/entity/Q515266,212000-1082,Skurups kommun
http://www.wikidata.org/entity/Q501452,212000-1710,Skövde kommun
http://www.wikidata.org/entity/Q505046,212000-2205,Smedjebackens kommun
http://www.wikidata.org/entity/Q221990,212000-2437,Sollefteå kommun
http://www.wikidata.org/entity/Q503746,212000-0134,Sollentuna kommun
http://www.wikidata.org/entity/Q109010,212000-0183,Solna kommun
http://www.wikidata.org/entity/Q501463,212000-2585,Sorsele kommun
http://www.wikidata.org/entity/Q501420,212000-1322,Sotenäs kommun
http://www.wikidata.org/entity/Q504609,212000-1017,Staffanstorps kommun
http://www.wikidata.org/entity/Q511438,212000-1298,Stenungsunds kommun
http://www.wikidata.org/entity/Q506250,212000-0142,Stockholms kommun
http://www.wikidata.org/entity/Q505936,212000-1785,Storfors kommun
http://www.wikidata.org/entity/Q499415,212000-2577,Storumans kommun
http://www.wikidata.org/entity/Q501532,212000-0365,Strängnäs kommun
http://www.wikidata.org/entity/Q501424,212000-1405,Strömstads kommun
http://www.wikidata.org/entity/Q514770,212000-2486,Strömsunds kommun
http://www.wikidata.org/entity/Q972564,212000-0175,Sundbybergs kommun
http://www.wikidata.org/entity/Q504994,212000-2411,Sundsvalls kommun
http://www.wikidata.org/entity/Q501205,212000-1843,Sunne kommun
http://www.wikidata.org/entity/Q34078,212000-2031,Surahammars kommun
http://www.wikidata.org/entity/Q504227,212000-0993,Svalövs kommun
http://www.wikidata.org/entity/Q515706,212000-1074,Svedala kommun
http://www.wikidata.org/entity/Q501487,212000-1512,Svenljunga kommun
http://www.wikidata.org/entity/Q511326,212000-1900,Säffle kommun
http://www.wikidata.org/entity/Q1345439,212000-2247,Säters kommun
http://www.wikidata.org/entity/Q505239,212000-0563,Sävsjö kommun
http://www.wikidata.org/entity/Q145835,212000-2353,Söderhamns kommun
http://www.wikidata.org/entity/Q515680,212000-0464,Söderköpings kommun
http://www.wikidata.org/entity/Q516336,212000-0159,Södertälje kommun
http://www.wikidata.org/entity/Q515409,212000-0852,Sölvesborgs kommun
http://www.wikidata.org/entity/Q511228,212000-1348,Tanums kommun
http://www.wikidata.org/entity/Q501432,212000-1660,Tibro kommun
http://www.wikidata.org/entity/Q501459,212000-1736,Tidaholms kommun
http://www.wikidata.org/entity/Q510198,212000-0266,Tierps kommun
http://www.wikidata.org/entity/Q504983,212000-2395,Timrå kommun
http://www.wikidata.org/entity/Q515491,212000-0621,Tingsryds kommun
http://www.wikidata.org/entity/Q501448,212000-1306,Tjörns kommun
http://www.wikidata.org/entity/Q515519,212000-0886,Tomelilla kommun
http://www.wikidata.org/entity/Q510135,212000-1777,Torsby kommun
http://www.wikidata.org/entity/Q515551,212000-0696,Torsås kommun
http://www.wikidata.org/entity/Q501479,212000-1462,Tranemo kommun
http://www.wikidata.org/entity/Q505071,212000-0597,Tranås kommun
http://www.wikidata.org/entity/Q504219,212000-1199,Trelleborgs kommun
http://www.wikidata.org/entity/Q28532,212000-1546,Trollhättans kommun
http://www.wikidata.org/entity/Q505064,212000-2957,Trosa kommun
http://www.wikidata.org/entity/Q113730,212000-0092,Tyresö kommun
http://www.wikidata.org/entity/Q493066,212000-0118,Täby kommun
http://www.wikidata.org/entity/Q501470,212000-1678,Töreboda kommun
http://www.wikidata.org/entity/Q501442,212000-1397,Uddevalla kommun
http://www.wikidata.org/entity/Q382808,212000-1579,Ulricehamns kommun
http://www.wikidata.org/entity/Q507709,212000-2627,Umeå kommun
http://www.wikidata.org/entity/Q499425,212000-0019,Upplands Väsby kommun
http://www.wikidata.org/entity/Q113673,212000-0100,Upplands-Bro kommun
http://www.wikidata.org/entity/Q59091,212000-3005,Uppsala kommun
http://www.wikidata.org/entity/Q515505,212000-0605,Uppvidinge kommun
http://www.wikidata.org/entity/Q515969,212000-2825,Vadstena kommun
http://www.wikidata.org/entity/Q605329,212000-0522,Vaggeryds kommun
http://www.wikidata.org/entity/Q509997,212000-0431,Valdemarsviks kommun
http://www.wikidata.org/entity/Q501526,212000-0027,Vallentuna kommun
http://www.wikidata.org/entity/Q501551,212000-2130,Vansbro kommun
http://www.wikidata.org/entity/Q501428,212000-2924,Vara kommun
http://www.wikidata.org/entity/Q179180,212000-1249,Varbergs kommun
http://www.wikidata.org/entity/Q500090,212000-2908,Vaxholms kommun
http://www.wikidata.org/entity/Q511338,212000-1033,Vellinge kommun
http://www.wikidata.org/entity/Q505052,212000-0571,Vetlanda kommun
http://www.wikidata.org/entity/Q515861,212000-2601,Vilhelmina kommun
http://www.wikidata.org/entity/Q505057,212000-0787,Vimmerby kommun
http://www.wikidata.org/entity/Q504505,212000-2544,Vindelns kommun
http://www.wikidata.org/entity/Q249378,212000-0308,Vingåkers kommun
http://www.wikidata.org/entity/Q511426,212000-1538,Vänersborgs kommun
http://www.wikidata.org/entity/Q500210,212000-2841,Vännäs kommun
http://www.wikidata.org/entity/Q493841,212000-0035,Värmdö kommun
http://www.wikidata.org/entity/Q280562,212000-0555,Värnamo kommun
http://www.wikidata.org/entity/Q515477,212000-0779,Västerviks kommun
http://www.wikidata.org/entity/Q34550,212000-2080,Västerås kommun
http://www.wikidata.org/entity/Q500217,212000-0662,Växjö kommun
http://www.wikidata.org/entity/Q511297,212000-1454,Vårgårda kommun
http://www.wikidata.org/entity/Q515699,212000-0381,Ydre kommun
http://www.wikidata.org/entity/Q505102,212000-1181,Ystads kommun
http://www.wikidata.org/entity/Q254799,212000-0647,Älmhults kommun
http://www.wikidata.org/entity/Q123855,212000-2197,Älvdalens kommun
http://www.wikidata.org/entity/Q59858,212000-0258,Älvkarleby kommun
http://www.wikidata.org/entity/Q255025,212000-2734,Älvsbyns kommun
http://www.wikidata.org/entity/Q255206,212000-0977,Ängelholms kommun
http://www.wikidata.org/entity/Q271079,212000-1587,Åmåls kommun
http://www.wikidata.org/entity/Q271107,212000-2387,Ånge kommun
http://www.wikidata.org/entity/Q271153,212000-2494,Åre kommun
http://www.wikidata.org/entity/Q2777887,212000-1835,Årjängs kommun
http://www.wikidata.org/entity/Q271274,212000-2791,Åsele kommun
http://www.wikidata.org/entity/Q201813,212000-0936,Åstorps kommun
http://www.wikidata.org/entity/Q271340,212000-0415,Åtvidabergs kommun
http://www.wikidata.org/entity/Q293928,212000-1280,Öckerö kommun
http://www.wikidata.org/entity/Q293970,212000-0373,Ödeshögs kommun
http://www.wikidata.org/entity/Q297718,212000-1967,Örebro kommun
http://www.wikidata.org/entity/Q297936,212000-0878,Örkelljunga kommun
http://www.wikidata.org/entity/Q298003,212000-2445,Örnsköldsviks kommun
http://www.wikidata.org/entity/Q306789,212000-2528,Östersunds kommun
http://www.wikidata.org/entity/Q117728,212000-2890,Österåkers kommun
http://www.wikidata.org/entity/Q59093,212000-0290,Östhammars kommun
http://www.wikidata.org/entity/Q307370,212000-0860,Östra Göinge kommun
http://www.wikidata.org/entity/Q307569,212000-2684,Överkalix kommun
http://www.wikidata.org/entity/Q307603,212000-2700,Övertorneå kommun
